"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021559",338,265,0,1,1,7,9,7,11,6,6,24,1
"E00021560",431,272,0,0,2,6,19,39,37,20,14,14,8
"E00021561",278,123,1,0,1,0,1,8,20,10,31,49,34
"E00021562",372,237,0,0,4,1,16,16,32,12,7,21,26
"E00021563",402,268,0,0,4,8,11,40,25,12,12,18,4
"E00021564",313,177,0,0,4,7,17,17,25,10,15,28,13
"E00021565",207,123,0,1,1,0,2,22,15,12,9,15,7
"E00021566",446,272,0,1,1,12,10,22,44,19,25,30,10
"E00021567",351,240,0,2,3,8,11,13,13,12,15,24,10
"E00021569",302,217,0,0,1,2,2,10,10,10,21,19,10
"E00021572",433,224,0,0,0,9,10,27,40,11,24,40,48
"E00021574",267,145,0,0,1,9,14,22,22,13,11,23,7
"E00021577",291,184,0,1,4,2,14,25,21,18,11,6,5
"E00021579",362,221,0,0,1,7,11,31,35,16,15,20,5
"E00021580",423,214,0,1,1,9,20,48,41,25,22,27,15
"E00021582",401,239,0,0,5,11,26,50,31,4,15,17,3
"E00021583",434,241,0,0,3,12,24,35,39,19,15,32,14
"E00021584",302,217,0,1,3,10,11,20,20,8,6,5,1
"E00021585",590,348,1,0,4,10,27,64,55,28,18,26,9
"E00021586",455,240,0,1,3,7,21,40,43,15,24,48,13
"E00021587",396,230,0,2,3,3,8,30,38,11,18,41,12
"E00021588",333,176,0,1,9,15,16,23,31,14,18,17,13
"E00021590",376,225,0,0,4,9,13,26,35,11,28,17,8
"E00021591",491,299,3,0,3,6,19,42,69,15,19,10,6
"E00021592",315,225,0,0,3,4,14,13,24,15,6,8,3
"E00021593",225,114,0,1,7,13,10,7,23,15,9,21,5
"E00021594",336,196,0,1,3,7,15,35,21,8,14,20,16
"E00021595",354,211,0,2,5,9,24,18,26,10,19,17,13
"E00021596",381,217,0,2,3,14,17,23,25,12,23,23,22
"E00021597",374,208,0,1,4,8,18,38,33,10,19,25,10
"E00021598",260,149,0,0,0,4,1,7,10,13,27,27,22
"E00021599",326,201,0,0,1,4,7,12,28,19,26,22,6
"E00021600",308,214,0,0,1,2,4,6,24,15,11,20,11
"E00021601",230,140,1,0,3,7,3,4,15,2,16,30,9
"E00021602",368,190,0,0,1,4,11,25,19,12,37,54,15
"E00021603",184,121,0,0,0,1,4,2,13,5,16,15,7
"E00021604",356,214,0,0,2,5,21,18,30,16,17,25,8
"E00021605",289,160,0,0,3,3,6,7,12,17,22,43,16
"E00021606",282,168,0,2,4,0,5,12,27,13,13,21,17
"E00021607",262,161,0,1,5,8,12,18,18,6,12,15,6
"E00021608",217,147,0,1,2,1,5,8,13,5,8,14,13
